mult,pT,eta
4,1.74972,-10.6652
2,0.670592,1.71973
32,12.4078,-30.5897
42,16.2264,-18.3479
2,0.726424,1.55606
4,1.14057,12.9017
26,8.44418,108.358
42,18.9298,79.547
20,6.68543,70.5156
54,20.8741,82.0247
32,9.62212,-169.736
66,36.7912,-18.4423
4,1.06663,14.6625
12,3.37972,66.1162
48,17.9998,-25.7784
14,5.1716,-70.7739
16,4.58945,45.5947
12,5.59872,62.6295
4,3.08733,13.1352
94,74.6459,-3.9478
24,7.3119,114.725
4,1.18557,6.41302
8,3.26781,-40.9942
4,1.7308,13.9702
6,2.58315,-24.1687
44,18.1335,62.3406
14,6.05312,-37.7611
4,0.492079,11.6973
26,11.4306,-103.845
10,3.77186,42.5722
6,1.95846,25.7028
6,2.82768,24.1174
14,5.30623,71.1438
74,39.8226,62.1403
38,13.2557,42.0252
50,21.5899,117.354
30,13.0558,39.6093
2,1.01048,1.33641
44,20.7107,-100.495
40,13.8768,31.4229
18,7.96221,53.4453
12,5.7575,44.6038
28,10.0628,-106.757
